Player,Team,Salary
Tomas Satoransky,WAS,6000000
Tim Frazier,WAS,4000000
Ramon Sessions,WAS,263124
Otto Porter,WAS,49546500
Mike Scott,WAS,3419076
Michael Young,WAS,50000
Martell Webster,WAS,1660000
Markieff Morris,WAS,16000000
Marcin Gortat,WAS,25565218
Kelly Oubre,WAS,4186080
John Wall,WAS,36127700
Jodie Meeks,WAS,6580000
Jason Smith,WAS,10450000
Ian Mahinmi,WAS,33323282
Daniel Ochefu,WAS,100000
Chris McCullough,WAS,2942764
Carrick Felix,WAS,281804
Bradley Beal,WAS,47551012
Thabo Sefolosha,UTA,10500000
Rudy Gobert,UTA,43949438
Rodney Hood,UTA,2386864
Ricky Rubio,UTA,28550000
Raul Neto,UTA,2942764
Nate Wolters,UTA,50000
Jonas Jerebko,UTA,8000000
Joel Bolomboy,UTA,2625222
Joe Johnson,UTA,10505000
Joe Ingles,UTA,28272728
Jae Crowder,UTA,6796117
Ekpe Udoh,UTA,6400000
Derrick Rose,UTA,2116955
Derrick Favors,UTA,24000000
Dante Exum,UTA,9984770
Alec Burks,UTA,21691012
Serge Ibaka,TOR,40123458
Pascal Siakam,TOR,2625222
Norman Powell,TOR,2942764
Malachi Richardson,TOR,1504560
Lucas Nogueira,TOR,5894610
Kyle Lowry,TOR,57407408
K.J. McDaniels,TOR,200000
Justin Hamilton,TOR,2000000
Jonas Valanciunas,TOR,30921350
Jakob Poeltl,TOR,5651280
Fred VanVleet,TOR,2625222
DeMar DeRozan,TOR,55479950
Delon Wright,TOR,3290400
C.J. Miles,TOR,15873018
Bruno Caboclo,TOR,2451225
Tony Parker,SAS,30906252
Tim Duncan,SAS,3762500
Rudy Gay,SAS,16812000
Pau Gasol,SAS,32000000
Patty Mills,SAS,21428572
Manu Ginobili,SAS,5000000
LaMarcus Aldridge,SAS,42922020
Kyle Anderson,SAS,4303408
Kawhi Leonard,SAS,37737250
Joffrey Lauvergne,SAS,3048610
Dejounte Murray,SAS,2625222
Davis Bertans,SAS,2625222
Danny Green,SAS,20000000
Bryn Forbes,SAS,2625222
Zach Randolph,SAC,24615384
Willie Cauley-Stein,SAC,7408320
Vince Carter,SAC,16000000
Skal Labissiere,SAC,2625222
Matt Barnes,SAC,4267084
Malachi Richardson,SAC,1504560
Kosta Koufos,SAC,16786000
Joe Johnson,SAC,9505000
Iman Shumpert,SAC,10337079
Georgios Papagiannis,SAC,4602720
George Hill,SAC,20000000
Garrett Temple,SAC,16000000
Caron Butler,SAC,1034440
Buddy Hield,SAC,7350960
Bruno Caboclo,SAC,2451225
Arron Afflalo,SAC,3000000
Anthony Tolliver,SAC,4000000
Wade Baldwin,POR,222476
Shabazz Napier,POR,4722720
Pat Connaughton,POR,2942764
Noah Vonleh,POR,3505233
Meyers Leonard,POR,19808990
Maurice Harkless,POR,20325844
Jusuf Nurkic,POR,5894610
Jake Layman,POR,2625222
Georgios Papagiannis,POR,74159
Festus Ezeli,POR,666668
Evan Turner,POR,34262296
Ed Davis,POR,12705062
Damian Lillard,POR,52306114
C.J. McCollum,POR,47925146
Brandon Rush,POR,119602
Andrew Nicholson,POR,5688858
Anderson Varejao,POR,3826690
Al-Farouq Aminu,POR,14638070
Tyson Chandler,PHO,26000000
Tyler Ulis,PHO,2625222
Troy Daniels,PHO,6817040
T.J. Warren,PHO,6305862
Mike James,PHO,87552
Marquese Chriss,PHO,6147600
Leandro Barbosa,PHO,1000000
Jared Dudley,PHO,20000000
Isaiah Canaan,PHO,1069308
Greg Monroe,PHO,35768352
Elfrid Payton,PHO,3332340
Dragan Bender,PHO,8937600
Devin Booker,PHO,4638720
Derrick Jones,PHO,2625222
Brandon Knight,PHO,27237500
Alex Len,PHO,8375198
Alan Williams,PHO,12000000
Trevor Booker,PHI,9125000
Timothe Luwawu-Cabarrot,PHI,2773200
Tibor Pleiss,PHI,1000000
T.J. McConnell,PHI,2942764
Robert Covington,PHI,33396206
Richaun Holmes,PHI,2942764
Nik Stauskas,PHI,3807146
Marco Belinelli,PHI,776217
Justin Anderson,PHI,3158880
Joel Embiid,PHI,12200532
Jerryd Bayless,PHI,18000000
Jahlil Okafor,PHI,4995120
J.J. Redick,PHI,46000000
Gerald Henderson,PHI,2000000
Ersan Ilyasova,PHI,502328
Dario Saric,PHI,4845120
Amir Johnson,PHI,22000000
Terrence Ross,ORL,21000000
Shelvin Mack,ORL,12000000
Rashad Vaughn,ORL,166258
Nikola Vucevic,ORL,24500000
Marreese Speights,ORL,4233910
Mario Hezonja,ORL,8156640
Jonathon Simmons,ORL,12600000
Evan Fournier,ORL,34000000
Elfrid Payton,ORL,3332340
D.J. Augustin,ORL,14500000
C.J. Watson,ORL,666668
Bismack Biyombo,ORL,34000000
Arron Afflalo,ORL,4657304
Aaron Gordon,ORL,11008840
Steven Adams,OKC,44943820
Russell Westbrook,OKC,57061216
Ronnie Price,OKC,4884910
Raymond Felton,OKC,4657304
Paul George,OKC,39017916
Patrick Patterson,OKC,10384000
Nick Collison,OKC,4657304
Kyle Singler,OKC,9333000
Josh Huestis,OKC,2942764
Jerami Grant,OKC,3048610
Carmelo Anthony,OKC,52487520
Andre Roberson,OKC,18518518
Alex Abrines,OKC,11450000
Willy Hernangomez,NYK,1435750
Troy Williams,NYK,148318
Trey Burke,NYK,784160
Tim Hardaway,NYK,33000000
Ron Baker,NYK,8656000
Ramon Sessions,NYK,4657304
Mindaugas Kuzminskas,NYK,6050070
Michael Beasley,NYK,4233910
Marshall Plumlee,NYK,200000
Lance Thomas,NYK,13310650
Kyle O'Quinn,NYK,4087500
Kristaps Porzingis,NYK,9007200
Johnny O'Bryant,NYK,1524305
Joakim Noah,NYK,35530000
Jarrett Jack,NYK,4657304
Enes Kanter,NYK,41133604
Emmanuel Mudiay,NYK,3381480
Doug McDermott,NYK,3294994
Courtney Lee,NYK,23495780
Chasson Randle,NYK,2625222
Solomon Hill,NOP,12236535
Rashad Vaughn,NOP,1889040
Rajon Rondo,NOP,3300000
Quinn Cook,NOP,25000
Nikola Mirotic,NOP,12500000
Larry Drew,NOP,74159
Jrue Holiday,NOP,25686667
Josh Smith,NOP,2183934
Jordan Crawford,NOP,250000
Ian Clark,NOP,1577230
Emeka Okafor,NOP,239204
E'Twaun Moore,NOP,8445024
DeMarcus Cousins,NOP,18063850
DeAndre Liggins,NOP,172238
Darius Miller,NOP,2100000
Cheick Diallo,NOP,1312611
Axel Toupane,NOP,25000
Anthony Davis,NOP,23775506
Alexis Ajinca,NOP,4961798
Tony Allen,NOH,2116955
Solomon Hill,NOH,12236535
Rajon Rondo,NOH,3300000
Quinn Cook,NOH,25000
Omer Asik,NOH,10595505
Jrue Holiday,NOH,25686667
Josh Smith,NOH,2183934
Jordan Crawford,NOH,250000
Jameer Nelson,NOH,2262871
Ian Clark,NOH,1577230
DeMarcus Cousins,NOH,18063850
Darius Miller,NOH,2100000
Dante Cunningham,NOH,2300000
Cheick Diallo,NOH,1312611
Axel Toupane,NOH,25000
Anthony Davis,NOH,23775506
Alexis Ajinca,NOH,4961798
Tyler Zeller,NJN,1709538
Trevor Booker,NJN,9125000
Timofey Mozgov,NJN,15280000
Spencer Dinwiddie,NJN,1524305
Sean Kilpatrick,NJN,1524305
Rondae Hollis-Jefferson,NJN,1471382
Quincy Acy,NJN,1709538
Joe Harris,NJN,1524305
Jeremy Lin,NJN,12000000
Isaiah Whitehead,NJN,1312611
Deron Williams,NJN,5500000
DeMarre Carroll,NJN,14800000
Caris LeVert,NJN,1632480
Allen Crabbe,NJN,19332500
Tyus Jones,MIN,2942764
Taj Gibson,MIN,28000000
Shabazz Muhammad,MIN,3154460
Nikola Pekovic,MIN,23200000
Nemanja Bjelica,MIN,7899998
Marcus Georges-Hunt,MIN,2625222
Kevin Martin,MIN,2720610
Karl-Anthony Towns,MIN,12433680
Jimmy Butler,MIN,38602140
Jeff Teague,MIN,38000000
Jamal Crawford,MIN,8656000
Gorgui Dieng,MIN,28224720
Cole Aldrich,MIN,14600000
Andrew Wiggins,MIN,15148644
Aaron Brooks,MIN,4233910
Tyler Zeller,MIL,1709538
Tony Snell,MIL,19642858
Thon Maker,MIL,5368320
Spencer Hawes,MIL,12042350
Sean Kilpatrick,MIL,789725
Rashad Vaughn,MIL,1889040
Mirza Teletovic,MIL,21000000
Matthew Dellavedova,MIL,19215000
Malcolm Brogdon,MIL,2625222
Larry Sanders,MIL,3731094
Khris Middleton,MIL,28200000
John Henson,MIL,22845072
Joel Bolomboy,MIL,22248
Jason Terry,MIL,4657304
Jabari Parker,MIL,13564784
Giannis Antetokounmpo,MIL,44943820
Gary Payton,MIL,50000
Eric Bledsoe,MIL,29000000
DeAndre Liggins,MIL,3154460
Brandon Jennings,MIL,119010
Wayne Ellington,MIA,12540000
Udonis Haslem,MIA,4657304
Tyler Johnson,MIA,11762520
Rodney McGruder,MIA,2625222
Okaro White,MIA,1312611
Luke Babbitt,MIA,1974159
Kelly Olynyk,MIA,21214338
Justise Winslow,MIA,5410080
Josh Richardson,MIA,2942764
Jordan Mickey,MIA,2942764
James Johnson,MIA,27908000
Hassan Whiteside,MIA,47551012
Goran Dragic,MIA,34000900
Dwyane Wade,MIA,2328652
Dion Waiters,MIA,22000000
Chris Bosh,MIA,50578780
A.J. Hammons,MIA,2625222
Wayne Selden,MEM,2625222
Wade Baldwin,MEM,3748800
Tyreke Evans,MEM,6580000
Mike Conley,MEM,57061216
Mario Chalmers,MEM,4212814
Marc Gasol,MEM,45284700
Jarell Martin,MEM,2942764
JaMychal Green,MEM,17066666
James Ennis,MEM,3028410
Deyonta Davis,MEM,2625222
Chandler Parsons,MEM,46224008
Brice Johnson,MEM,1331160
Briante Weber,MEM,83129
Brandan Wright,MEM,11135520
Ben McLemore,MEM,10400000
Andrew Harrison,MEM,2625222
Vander Blue,LAL,100000
Tyler Ennis,LAL,3048610
Travis Wear,LAL,148318
Stephen Zimmerman,LAL,2625222
Luol Deng,LAL,34380000
Larry Nance,LAL,1471382
Kentavious Caldwell-Pope,LAL,35491788
Julius Randle,LAL,8298484
Jordan Clarkson,LAL,11562500
Ivica Zubac,LAL,2625222
Isaiah Thomas,LAL,6261395
Derrick Williams,LAL,104059
Corey Brewer,LAL,15158732
Channing Frye,LAL,7420912
Brook Lopez,LAL,45284700
Briante Weber,LAL,100000
Brandon Ingram,LAL,11038800
Andrew Bogut,LAL,4657304
Willie Reed,LAC,1577230
Wesley Johnson,LAC,11762520
Tobias Harris,LAC,16000000
Sean Kilpatrick,LAC,172238
Sam Dekker,LAC,3589200
Paul Pierce,LAC,2192160
Patrick Beverley,LAC,11027028
Montrezl Harrell,LAC,2942764
Miroslav Raduljica,LAC,600000
Lou Williams,LAC,14000000
Jordan Farmar,LAC,1021842
DeAndre Jordan,LAC,45284700
Danilo Gallinari,LAC,41119198
Carlos Delfino,LAC,1300000
Brice Johnson,LAC,1331160
Boban Marjanovic,LAC,7000000
Blake Griffin,LAC,29512900
Avery Bradley,LAC,8808989
Austin Rivers,LAC,23650000
Victor Oladipo,IND,42000000
Thaddeus Young,IND,29592696
Rakeem Christmas,IND,345104
Myles Turner,IND,5139840
Monta Ellis,IND,4490800
Lance Stephenson,IND,8360000
Joe Young,IND,2942764
Glenn Robinson,IND,3048610
Georges Niang,IND,200000
Domantas Sabonis,IND,5100000
Darren Collison,IND,20000000
Damien Wilkins,IND,4233910
Cory Joseph,IND,15260000
Bojan Bogdanovic,IND,21000000
Alex Poythress,IND,778668
Al Jefferson,IND,19539642
Troy Williams,HOU,2942764
Trevor Ariza,HOU,14841824
Tarik Black,HOU,6580000
Ryan Anderson,HOU,39156910
P.J. Tucker,HOU,15180070
Nene Hilario,HOU,6955200
Joe Johnson,HOU,749905
James Harden,HOU,56598798
Isaiah Canaan,HOU,106930
Gerald Green,HOU,947248
Eric Gordon,HOU,25886040
Demetrius Jackson,HOU,124159
Clint Capela,HOU,4669040
Chris Paul,HOU,49198990
Chris Johnson,HOU,50000
Chinanu Onuaku,HOU,2625222
Briante Weber,HOU,50000
Bobby Brown,HOU,3048610
Zaza Pachulia,GSW,6955200
Stephen Curry,GSW,69365100
Shaun Livingston,GSW,15384616
Patrick McCaw,GSW,2625222
Omri Casspi,GSW,4212940
Nick Young,GSW,10384000
Klay Thompson,GSW,35652300
Kevon Looney,GSW,2942764
Kevin Durant,GSW,50000000
JaVale McGee,GSW,4233910
Jason Thompson,GSW,1890252
Draymond Green,GSW,32800000
David West,GSW,4657304
Damian Jones,GSW,2625222
Andre Iguodala,GSW,29629630
Tobias Harris,DET,16000000
Stanley Johnson,DET,6195600
Reggie Jackson,DET,32000000
Reggie Bullock,DET,5000000
Michael Gbinije,DET,1000000
Luis Montero,DET,50000
Langston Galloway,DET,13333334
Josh Smith,DET,10800000
Jon Leuer,DET,20994638
James Ennis,DET,3028410
Jameer Nelson,DET,2262871
Ish Smith,DET,12000000
Henry Ellenson,DET,3561600
Eric Moreland,DET,3478666
Dwight Buycks,DET,748160
Boban Marjanovic,DET,7000000
Blake Griffin,DET,29512900
Beno Udrih,DET,50000
Avery Bradley,DET,8808989
Anthony Tolliver,DET,6580000
Andre Drummond,DET,47551012
Aaron Gray,DET,904118
Wilson Chandler,DEN,24033708
Will Barton,DEN,7066666
Trey Lyles,DEN,4882800
Richard Jefferson,DEN,4657304
Paul Millsap,DEN,62538462
Nikola Jokic,DEN,2942764
Mason Plumlee,DEN,28082192
Malik Beasley,DEN,3401280
Kenneth Faried,DEN,25842696
Juan Hernangomez,DEN,4153680
Jameer Nelson,DEN,9472100
Jamal Murray,DEN,6710640
Gary Harris,DEN,5100110
Emmanuel Mudiay,DEN,3381480
Devin Harris,DEN,4402546
Darrell Arthur,DEN,14929824
Yogi Ferrell,DAL,2625222
Wesley Matthews,DAL,35768352
Seth Curry,DAL,6056820
Scotty Hopson,DAL,74159
Salah Mejri,DAL,2942764
Nerlens Noel,DAL,8375198
Josh McRoberts,DAL,12042350
Jeff Withey,DAL,3154640
J.J. Barea,DAL,7807800
Harrison Barnes,DAL,46224008
Gal Mekel,DAL,631520
Dwight Powell,DAL,18006250
Doug McDermott,DAL,3294994
Dorian Finney-Smith,DAL,2625222
Dirk Nowitzki,DAL,10000000
Devin Harris,DAL,4402546
Tristan Thompson,CLE,32800000
Rodney Hood,CLE,2386864
Marcus Thornton,CLE,46080
LeBron James,CLE,66571418
Larry Nance,CLE,1471382
Kyle Korver,CLE,14000000
Kevin Love,CLE,45284700
Jose Calderon,CLE,4657304
Jordan Clarkson,CLE,11562500
Jeff Green,CLE,4233910
Jae Crowder,CLE,6796117
J.R. Smith,CLE,27520000
Isaiah Thomas,CLE,6261395
Iman Shumpert,CLE,10337079
George Hill,CLE,20000000
Dwyane Wade,CLE,2328652
Derrick Rose,CLE,2116955
Channing Frye,CLE,7420912
Willy Hernangomez,CHO,1435750
Treveon Graham,CHO,1312611
Nicolas Batum,CHO,22434783
Michael Kidd-Gilchrist,CHO,13000000
Michael Carter-Williams,CHO,2700000
Marvin Williams,CHO,13168750
Kemba Walker,CHO,12000000
Julyan Stone,CHO,1524305
Jeremy Lamb,CHO,7000000
Frank Kaminsky,CHO,2847600
Dwight Howard,CHO,23500000
Cody Zeller,CHO,12584270
Zach LaVine,CHI,6404434
Willie Reed,CHI,1577230
Tony Allen,CHI,2116955
Robin Lopez,CHI,27577000
Rajon Rondo,CHI,6000000
Quincy Pondexter,CHI,7707862
Paul Zipser,CHI,2625222
Omer Asik,CHI,10595505
Noah Vonleh,CHI,3505233
Nikola Mirotic,CHI,12500000
Kris Dunn,CHI,8093520
Kay Felder,CHI,2625222
Justin Holiday,CHI,9230770
Jerian Grant,CHI,3427680
Jarell Eddie,CHI,117577
Isaiah Canaan,CHI,400000
Dwyane Wade,CHI,31100000
Diamond Stone,CHI,100000
Denzel Valentine,CHI,4372800
David Nwaba,CHI,2625222
Cristiano Felicio,CHI,15687000
Cameron Payne,CHI,4406880
Bobby Portis,CHI,3032640
Treveon Graham,CHA,1312611
Nicolas Batum,CHA,22434783
Michael Kidd-Gilchrist,CHA,13000000
Michael Carter-Williams,CHA,2700000
Marvin Williams,CHA,13168750
Kemba Walker,CHA,12000000
Julyan Stone,CHA,1524305
Jeremy Lamb,CHA,7000000
Frank Kaminsky,CHA,2847600
Dwight Howard,CHA,23500000
Cody Zeller,CHA,12584270
Timofey Mozgov,BRK,15280000
Spencer Dinwiddie,BRK,1524305
Sean Kilpatrick,BRK,1524305
Rondae Hollis-Jefferson,BRK,1471382
Quincy Acy,BRK,1709538
Nik Stauskas,BRK,3807146
Joe Harris,BRK,1524305
Jeremy Lin,BRK,12000000
Jahlil Okafor,BRK,4995120
Isaiah Whitehead,BRK,1312611
Deron Williams,BRK,5500000
DeMarre Carroll,BRK,14800000
Dante Cunningham,BRK,2300000
D'Angelo Russell,BRK,5562360
Caris LeVert,BRK,1632480
Allen Crabbe,BRK,19332500
