Player,Team,Salary
Russell Westbrook,WAS,41358814
Robin Lopez,WAS,7300000
Raul Neto,WAS,1882867
Ish Smith,WAS,6146341
Bradley Beal,WAS,28751775
Alex Len,WAS,4032648
Rudy Gobert,UTA,26525281
Mike Conley,UTA,34504132
Jordan Clarkson,UTA,11500000
Joe Ingles,UTA,10863637
Georges Niang,UTA,1783557
Derrick Favors,UTA,9258000
Stanley Johnson,TOR,3801000
Rodney Hood,TOR,10047450
Patrick McCaw,TOR,4000000
Pascal Siakam,TOR,29000000
Kyle Lowry,TOR,30000000
Henry Ellenson,TOR,50000
Fred VanVleet,TOR,21250000
DeAndre' Bembry,TOR,1737145
Aron Baynes,TOR,6975610
Alex Len,TOR,4032648
Trey Lyles,SAS,5500000
Rudy Gay,SAS,14000000
Patty Mills,SAS,13285714
Marquese Chriss,SAS,1824003
LaMarcus Aldridge,SAS,19078340
Jakob Poeltl,SAS,8101852
Gorgui Dieng,SAS,17587688
DeMarre Carroll,SAS,6167887
DeMar DeRozan,SAS,27739975
Dejounte Murray,SAS,14285714
Richaun Holmes,SAC,5005350
Maurice Harkless,SAC,3623000
Jabari Parker,SAC,6916834
Hassan Whiteside,SAC,2320044
Harrison Barnes,SAC,22215909
Delon Wright,SAC,9000000
Damian Jones,SAC,1023250
Buddy Hield,SAC,24431818
Rondae Hollis-Jefferson,POR,245031
Robert Covington,POR,12138345
Norman Powell,POR,10865952
Enes Kanter,POR,5005350
Damian Lillard,POR,31626953
Carmelo Anthony,POR,2564753
Andrew Nicholson,POR,2844429
Langston Galloway,PHO,2028594
Jae Crowder,PHO,9258000
Frank Kaminsky,PHO,1882867
E'Twaun Moore,PHO,2331593
Devin Booker,PHO,29430000
Damian Jones,PHO,1023250
Chris Paul,PHO,41358814
Cameron Payne,PHO,1977011
Tobias Harris,PHI,33517241
Seth Curry,PHI,7813953
Mike Scott,PHI,5005350
Justin Anderson,PHI,125000
Joel Embiid,PHI,29542010
George Hill,PHI,9590602
Dwight Howard,PHI,2564753
Danny Green,PHI,15365854
Timofey Mozgov,ORL,5573333
Terrence Ross,ORL,13500000
Otto Porter,ORL,28489239
Michael Carter-Williams,ORL,3000000
Jeff Teague,ORL,3372826
James Ennis,ORL,3300000
Gary Harris,ORL,19160714
Patrick Patterson,OKC,3814768
Mike Muscala,OKC,2283034
Meyers Leonard,OKC,9400000
Kyle Singler,OKC,999200
Darius Miller,OKC,7000000
Austin Rivers,OKC,3174603
Al Horford,OKC,27500000
Wayne Ellington,NYK,3005225
Taj Gibson,NYK,6567368
Reggie Bullock,NYK,4200000
Nerlens Noel,NYK,5000000
Julius Randle,NYK,18900000
Joakim Noah,NYK,6431666
Elfrid Payton,NYK,11520000
Derrick Rose,NYK,7682927
Alec Burks,NYK,6000000
Steven Adams,NOP,27528090
James Johnson,NOP,16047100
Eric Bledsoe,NOP,16875000
Brandon Ingram,NOP,27285000
Ricky Rubio,MIN,17000000
Malik Beasley,MIN,13325895
Karl-Anthony Towns,MIN,29430000
Jake Layman,MIN,3761085
Ed Davis,MIN,5005350
D'Angelo Russell,MIN,28649250
Cole Aldrich,MIN,685340
Thanasis Antetokounmpo,MIL,1701593
Pat Connaughton,MIL,4938272
P.J. Tucker,MIL,7969537
Larry Sanders,MIL,1865547
Khris Middleton,MIL,33051724
Jrue Holiday,MIL,26131111
Jon Leuer,MIL,3169348
Jeff Teague,MIL,3372826
Giannis Antetokounmpo,MIL,27528090
Bryn Forbes,MIL,2337145
Brook Lopez,MIL,12697675
Bobby Portis,MIL,3623000
Victor Oladipo,MIA,21000000
Udonis Haslem,MIA,2564753
Trevor Ariza,MIA,12800000
Ryan Anderson,MIA,5214583
Nemanja Bjelica,MIA,7150000
Jimmy Butler,MIA,34379100
Dewayne Dedmon,MIA,3447478
Andre Iguodala,MIA,15000000
A.J. Hammons,MIA,350087
Tyus Jones,MEM,7965100
Kyle Anderson,MEM,9505100
Justise Winslow,MEM,13000000
Gorgui Dieng,MEM,17587688
Dion Waiters,MEM,12650000
Wesley Matthews,LAL,3623000
Quinn Cook,LAL,3594366
Montrezl Harrell,LAL,9258000
Markieff Morris,LAL,2331593
Marc Gasol,LAL,2564753
Luol Deng,LAL,4990000
LeBron James,LAL,39219565
Kentavious Caldwell-Pope,LAL,12073020
Jared Dudley,LAL,2564753
Ben McLemore,LAL,2852708
Anthony Davis,LAL,32742000
Andre Drummond,LAL,29546311
Serge Ibaka,LAC,9258000
Reggie Jackson,LAC,2331593
Rajon Rondo,LAC,7500000
Paul George,LAC,35450412
Patrick Patterson,LAC,3814768
Patrick Beverley,LAC,13333333
Nicolas Batum,LAC,11608231
Marcus Morris,LAC,14883721
Kawhi Leonard,LAC,34379100
Ivica Zubac,LAC,7000000
DeMarcus Cousins,LAC,2666959
T.J. Warren,IND,11750000
T.J. McConnell,IND,3500000
