Player,Team,Salary
Will Bynum,WAS,144468
Rasual Butler,WAS,1448490
Ramon Sessions,WAS,2077000
Paul Pierce,WAS,5305000
Otto Porter,WAS,4470480
Nene Hilario,WAS,13000000
Martell Webster,WAS,5381750
Marcin Gortat,WAS,10434782
Kris Humphries,WAS,4300000
Kevin Seraphin,WAS,3898692
John Wall,WAS,14746000
Glen Rice,WAS,400000
Garrett Temple,WAS,981084
Drew Gooden,WAS,1448000
DeJuan Blair,WAS,2000000
Bradley Beal,WAS,4505280
Andray Blatche,WAS,8471339
Trey Burke,UTA,2548560
Trevor Booker,UTA,5000000
Rudy Gobert,UTA,1127400
Rodney Hood,UTA,1290360
Kevin Murphy,UTA,65000
Kendrick Perkins,UTA,9654342
Joe Ingles,UTA,507336
Jerrelle Benimon,UTA,29843
Jeremy Evans,UTA,1794871
Jack Cooley,UTA,187357
Grant Jerrett,UTA,816481
Gordon Hayward,UTA,14746000
Elliot Williams,UTA,53838
Elijah Millsap,UTA,241731
Derrick Favors,UTA,12833333
Dante Exum,UTA,3615000
Chris Johnson,UTA,166897
Carrick Felix,UTA,816482
Bryce Cotton,UTA,152200
Alec Burks,UTA,3034356
Will Cherry,TOR,25000
Tyler Hansbrough,TOR,3326235
Terrence Ross,TOR,2793960
Patrick Patterson,TOR,5831326
Marcus Camby,TOR,646609
Lucas Nogueira,TOR,1762680
Lou Williams,TOR,5450000
Landry Fields,TOR,6250000
Kyle Lowry,TOR,12000000
Jonas Valanciunas,TOR,3678360
James Johnson,TOR,2500000
Greivis Vasquez,TOR,6400000
Greg Stiemsma,TOR,981084
DeMar DeRozan,TOR,9500000
Chuck Hayes,TOR,5958750
Bruno Caboclo,TOR,1458360
Amir Johnson,TOR,7000000
Tony Parker,SAS,12500000
Tim Duncan,SAS,10000000
Tiago Splitter,SAS,9250000
Reggie Williams,SAS,125104
Matt Bonner,SAS,1448490
Marco Belinelli,SAS,2873750
Manu Ginobili,SAS,7000000
Kyle Anderson,SAS,1093680
Kawhi Leonard,SAS,2894059
Josh Davis,SAS,20000
Jeff Ayres,SAS,1828750
Danny Green,SAS,4025000
Cory Joseph,SAS,2023261
Bryce Cotton,SAS,50000
Boris Diaw,SAS,7500000
Austin Daye,SAS,1063384
Aron Baynes,SAS,2077000
Wayne Ellington,SAC,923780
Sim Bhullar,SAC,29843
Ryan Hollins,SAC,1316809
Rudy Gay,SAC,19317325
Reggie Evans,SAC,1768653
Ray McCallum,SAC,816482
Quincy Miller,SAC,107676
Omri Casspi,SAC,1063384
Nik Stauskas,SAC,2745840
Jason Thompson,SAC,6037500
Eric Moreland,SAC,507336
Derrick Williams,SAC,6331404
DeMarcus Cousins,SAC,13701250
David Wear,SAC,29843
David Stockton,SAC,29843
Darren Collison,SAC,4797664
Carl Landry,SAC,6500000
Ben McLemore,SAC,3026280
Andre Miller,SAC,4625000
Wesley Matthews,POR,7245640
Tim Frazier,POR,50734
Steve Blake,POR,2077000
Robin Lopez,POR,6124728
Nicolas Batum,POR,11765500
Meyers Leonard,POR,2317920
LaMarcus Aldridge,POR,16006000
Joel Freeland,POR,3013512
Dorell Wright,POR,3150000
Diante Garrett,POR,915243
Damian Lillard,POR,3340920
Chris Kaman,POR,4800000
C.J. McCollum,POR,2421000
Brandon Roy,POR,19317326
Arron Afflalo,POR,7750000
Alonzo Gee,POR,1063384
Allen Crabbe,POR,862000
Tony Mitchell,PHO,816482
T.J. Warren,PHO,1953120
Seth Curry,PHO,48028
Reggie Bullock,PHO,1200720
